Civilite,Nom,Prenom,Mandat,Circonscription,Departement,Candidat,Date_de_publication,,,,,,,,
M.,VECTEN,Yves,Conseiller départemental,,Yonne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,MERIGOT,Michael,Maire,Ormoy-la-Rivière,Essonne,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,HENNION,Christine,Députée,3ème circonscription,Hauts-de-Seine,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,BRIDEY,Jean-Jacques,Député,7ème circonscription,Val-de-Marne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,GOUFFIER-CHA,Guillaume,Député,6ème circonscription,Val-de-Marne,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,MBAYE,Jean-François,Député,2ème circonscription,Val-de-Marne,MACRON Emmanuel,01/02/2022,,,,,,,,
Mme,HAYER,Valérie,Représentante française au Parlement européen,,Parlement européen,MACRON Emmanuel,01/02/2022,,,,,,,,
M.,PETIT,Jacques,Maire,Escouloubre,Aude,MÉLENCHON Jean-Luc,01/02/2022,,,,,,,,
M.,CARAYON,Christian,Maire,Montigny-sur-Armançon,Côte-d'Or,MÉLENCHON Jean-Luc,01/02/2022,,,,,,,,
M.,GUINOT,Stéphane,Maire,Boussenois,Côte-d'Or,MÉLENCHON Jean-Luc,01/02/2022,,,,,,,,
M.,ESCOUBEYROU,Luc,Maire,Banize,Creuse,MÉLENCHON Jean-Luc,01/02/2022,,,,,,,,
M.,PONSARD,Philippe,Maire,Savennes,Creuse,MÉLENCHON Jean-Luc,01/02/2022,,,,,,,,
M.,MESNIER,Christian,Maire,Chouzelot,Doubs,MÉLENCHON Jean-Luc,01/02/2022,,,,,,,,
Mme,AMASSE,Nicole,Maire,Saint-Sauveur-Camprieu,Gard,MÉLENCHON Jean-Luc,01/02/2022,,,,,,,,
M.,SORIANO,Michel,Maire,Lasséran,Gers,MÉLENCHON Jean-Luc,01/02/2022,,,,,,,,
